text,Tweet_Id,User_Id,No. of Retweets,No. of Likes,Is Verified,Follower Count,Is Rumour,Score,Prediction
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306890514182145,330778397,88,0,False,555,0,0.2052877138413686,False
"So 2 ppl at #ShaheenBagh have tested +ive for #Coronavirus , Yet
1) they are defiant
2) they continue their public gathering
Now these protestors are officially criminals
Arrest them ASAP ! @DelhiPolice",1241306880686690304,1024260706424635393,17,0,False,47,0,0.3984375,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306878723809280,43912419,88,0,False,813,0,0.146503884572697,False
"#दिल्ली - 36 घंटे में 55 मरे,800 #घायल
    
#कोरोना -20 दिन मे 2 मरे  70 #बीमार
कौन ज्यादा #खतरनाक है

   @BJP4India भाजपा या कोरोना 😂

#Shame U @narendramodi , @AmitShah &amp; @DelhiPolice .

#DelhiRiots2020 #Covid19India

@TheJanbaazKhan @BBCHindi @AshrafFem @Suhana_Speak @RiituS",1241306818548133888,1140297456053211136,0,0,False,1364,0,0.5817861482381531,False
@MumbaiPolice @DelhiPolice @rsprasad please see such stuff and other tiktoks... Million followers .. Dangerous https://t.co/h9DYRce2ti,1241306808616194049,52382339,0,0,False,82,0,0.27194444444444443,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/oJMExKiWmx",1241306800990945282,109774946,94,0,False,1810,0,0.0740546218487395,False
"@Shehzad_Ind Bhai, I request @DelhiPolice @HMOIndia @AmitShah to end such protest spread all over India by using power of Indian Police..Shaheenbagh must be closed immediately. https://t.co/K719twsHfB",1241306792870572033,1118096004039897090,0,0,False,104,0,0.24605263157894736,False
@irvpaswan @smittal_ips @drharshvardhan @narendramodi @DelhiPolice Please check the rate of Flipkart and Amazon's  and local market too.....you have to strict to control the price of these items atleast...,1241306787162144768,202467264,0,0,False,7,0,0.03278301886792453,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241306738059436032,1038818904083025920,215,0,False,7,0,1.4527027027027026,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi
@LtGovDelhi 
@DelhiPolice https://t.co/mBqjaNGZyD",1241306690236055553,2307928165,20,0,False,2353,1,0.012642225031605562,False
@ShaluShal2602 @SmokingSkills_ @DelhiPolice @YouTube @GOURAVHANDUJA,1241306678647066624,29277169,0,0,False,164,0,0.49987012987012985,False
"सरकार की कोरोना से बात हो गई है।

कोरोना कह रहा है कि पुलिस ड्यूटी कर सकती है।उसको मैं कुछ नही कहूँगा।
@dgpup @Uppolice @policemittra @vivekkumar84 @Aamitabh2 @News18UP @UpPolicemitra @DelhiPolice @Police_problem",1241306622963486721,920666414616399873,26,0,False,118,0,0.2708333333333333,False
@AnilVegomega @SureshK33359489 @RanaAyyub @DelhiPolice @AmitShah What?,1241306568353701888,4273161857,0,0,False,14,0,0.12499999999999997,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241306559935705089,259729452,215,0,False,116,0,0.974320241691843,False
"The hanging of #NirbhayaCaseConvicts is a reminder to perpetrators of crime - Remember that laws of the land reign supreme. Police shall hunt you down from anywhere from the four corners of the earth, and ensure justice for victim.",1241306548791459840,1167502342125547520,203,0,False,0,0,1.5,False
@ManishJhaTweets @DelhiPolice @DcpNorthDelhi धारा 270 :जो कोई परिद्वेष से ऐसा कोई कार्य करेगा जिससे कि और जिससे वह जानता या विश्वास करने का कारण रखता हो कि जीवन के लिए संकटपूर्ण या किसी संक्रम फैलाना सम्भाव्य है तो वह दोनों में से किसी भांति के कारावास से जिनकी अवधि दो वर्ष तक कि हो सकती है या दोनों से दण्डित किया जायेगा!,1241306445049663489,850804519738802176,0,0,False,288,0,0.33523731587561373,False
"माननीय प्रधानमंत्री @narendramodi गृहमंत्री @AmitShah और @DelhiPolice @LtGovDelhi जिस तरह से शाहीन बाग में लोग इतना #coronsvirus होने के बावजूद आंदोलन से हट नहीं रहे है और खुद को जोखिम में डालने के साथ साथ दूसरो को भी जोखिम में डाल रहे है, उन सभी लोगों पर कड़ी सी कड़ी नियम लगाए",1241306439077019649,930045876432601091,0,0,False,12,0,0.03855172413793103,False
@IntrepidSaffron @desimojito @cyber @DelhiPolice please take immidiate action in this high time..,1241306418596077568,2978527753,0,0,False,302,0,0.5322556390977443,False
"Sir, what is your opinion on implementing Epidemic act on ShaheenBagh Protesters??? @LtGovDelhi @ArvindKejriwal @DelhiPolice https://t.co/unByOBlvS5",1241306401932107779,3243948902,0,1,False,49,1,0.01,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306364540002305,4743197604,88,0,False,344,0,0.3055555555555556,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306335754379267,2721787867,88,0,False,39,0,1.0393700787401574,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306310483689473,126582863,88,0,False,1676,0,0.07482993197278912,False
@ManishJhaTweets @DelhiPolice @DcpNorthDelhi https://t.co/EnFblXe7SU,1241306278351306752,1012763486621818880,1,0,False,391,1,0.003826530612244898,False
"Keeping in view of Corona (Covid-2019) pandemic, sufficient number of Forehead Thermometer Gun, Masks and Sanitizers have been issued to the staff of Shahdara District for regular use till the pandemic subsides as a preventive measures @LtGovDelhi @CPDelhi @DelhiPolice https://t.co/h96vhxiXu6",1241306265076109312,1204769639584026625,10,0,False,142,0,0.09868421052631579,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306217135452160,1012763486621818880,88,0,False,391,0,0.2755741127348643,False
@MirYanaSY @DelhiPolice They r criminals when they stop the road illegally without any issue they r jihadi at that when becoz of him ne delhi burnt now they r time bombs they r fidayni of isis jaesh let im jammat e islami n isi so stop tellin him criminals they r time bomb they r pets of terrorist,1241306198722281474,1238097258618310656,0,1,False,39,1,0.0125,False
@HydWatch @AmitShah @DelhiPolice Yup sounds good.,1241306186361663488,137625384,0,0,False,2661,0,0.6875239852398524,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306130527051776,929970206708981760,88,0,False,34,0,1.0819672131147542,False
"@rm_bjp @BJP4India @AmitShah @narendramodi @ArvindKejriwal @DelhiPolice True. Why is CM abrogating his duties. Health is under Muffler, people of Delhi wake up all of you are sitting on a time bomb called Corona Virus. The Dolts in Shaheen Bagh are not bothered. Either box them in or forcefully evacuate. Why so much consideration for one community?",1241306078735790080,57313997,0,0,False,6492,0,0.6647033031277404,False
"#FakeAlert

A fake notice is being circulated on social media claiming it to be issued by Delhi Police

@DelhiPolice has NOT issued any such advisory on imposition of a fine on March 22

 Let's resolve to make #JantaCurfew tomorrow, a success.
#IndiaFightsCorona #PIBFactcheck https://t.co/anIYJNWYib",1241305970678120453,2764895524,42,0,False,262,0,0.20723684210526316,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305945252065281,124217806,88,0,False,351,0,0.30068337129840544,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi
@LtGovDelhi 
@DelhiPolice https://t.co/mBqjaNGZyD",1241305943255572481,2943156823,20,0,False,242,0,0.11450381679389313,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305939417825281,1233423781332443138,215,0,False,2,0,1.4861751152073732,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305921193758720,48392375,215,0,False,294,0,0.6335952848722987,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305914277126144,195655841,88,0,False,952,0,0.12692307692307692,False
"#FakeAlert

A fake notice is being circulated on social media claiming it to be issued by Delhi Police

@DelhiPolice has NOT issued any such advisory on imposition of a fine on March 22

 Let's resolve to make #JantaCurfew tomorrow, a success.
#IndiaFightsCorona #PIBFactcheck https://t.co/anIYJNWYib",1241305888394080262,1055367294656888832,42,0,True,4102,0,1.0,False
@ManishJhaTweets @pokershash @DelhiPolice @DcpNorthDelhi Cc @LtGovDelhi  @DelhiPolice,1241305884401127425,2400222234,0,0,False,144,0,0.44388646288209604,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305841061498880,1118754591716171778,215,0,False,557,0,0.4177461139896373,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305826062520320,3100667126,88,0,False,24,0,1.1785714285714286,False
"#FakeAlert

A fake notice is being circulated on social media claiming it to be issued by Delhi Police

@DelhiPolice has NOT issued any such advisory on imposition of a fine on March 22

 Let's resolve to make #JantaCurfew tomorrow, a success.
#IndiaFightsCorona 
#PIBFactcheck https://t.co/Tj02JX5N3W",1241305794966106114,902114498437275648,0,0,True,995,0,1.0,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305785470083072,1187262725337968640,88,0,False,14,0,1.2941176470588236,False
".@ishkarnBHANDARI Tomorrow when the #JantaCurfew would be on,they will be bound to leave the ground ...else @DelhiPolice is free to arrest them ??? #CoronavirusPandemic #JANTA_CURFEW_ON_22_MARCH #JanataCurfewChallenge https://t.co/NsFJgLP7Ss",1241305754105196544,712642222567456770,0,0,False,131,0,0.2529838709677419,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/oJMExKiWmx",1241305718201843713,781678447743696897,94,0,False,365,0,0.30718954248366015,False
"#FakeAlert

A fake notice is being circulated on social media claiming it to be issued by Delhi Police

@DelhiPolice has NOT issued any such advisory on imposition of a fine on March 22

 Let's resolve to make #JantaCurfew tomorrow, a success.
#IndiaFightsCorona #PIBFactcheck https://t.co/anIYJNWYib",1241305715182100480,731751949490511872,42,0,False,51,0,0.6774193548387096,False
"All Police Stations are being disinfected and sanitised regularly to ensure our personnel stay safe. Additionally, all precautionary measures are in place including wash basins and hand sanitizer.

Together #IndiaFightsCorona and #IndiaComeTogether 

@DelhiPolice @CPDelhi https://t.co/0YwThVefsz",1241305714800246786,2738030725,45,0,False,0,0,1.5,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305710748565505,245567099,88,0,False,38,0,1.0476190476190477,False
"Hello sir please clarify this image is #fake or #genuine circulating on social media.
Waiting for you reply sir. Thanku 
 @DelhiPolice @CPDelhi @dtptraffic https://t.co/pJfa2BKbGz",1241305705321136129,282458507,0,0,False,30,0,0.10904306220095693,False
"Reminder: while Malls, Schools are closed, big gatherings are illegal, thousands working from home.. Shaheen Bagh mobs still there and coming &amp; leaving as they want. Many scripted shooting incidents &amp; road is still closed. @DelhiPolice @AmitShah @ArvindKejriwal. Shame on you all.",1241305695904882688,69181323,274,0,False,134,0,1.0073529411764706,False
@MirYanaSY @DelhiPolice DP.......Plzzzzzzzzzzzzzzz,1241305646210973696,735217005620404224,0,0,False,16,0,0.17727272727272725,False
"बद्तिमीज़ी की हद हो गई, कानुन का कोई भय नही?

माननीय गृहमंत्री @AmitShah जी आपने @CPDelhi @DelhiPolice का इतना हाथ बांध रखा है कि जो कोई चाहे ""पिटाई और गाली गलौज"" कर DP को जलील करे?

मै एक आम नागरिक होने के नाते इस वीडियो मे जो लड़का है उस पर कारवाई का सूचना वापिस माँगता हूँ 🙏 https://t.co/mbtw2O2KZ7",1241305638916874240,4646093532,31,0,False,1123,0,0.0402946273830156,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305592787922944,1185348402,88,0,False,35,0,1.0731707317073171,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi
@LtGovDelhi 
@DelhiPolice https://t.co/mBqjaNGZyD",1241305588715237376,2346532633,20,0,False,645,0,0.045112781954887216,False
"Senior citizens visited and made aware about precautions /preventive measures for corona. Let's fight together against #coronavirus.
@CPDelhi @DelhiPolice @LtGovDelhi @HMOIndia @PMOIndia https://t.co/CFpnPsJ5L8",1241305571220795392,925052424116625408,12,0,False,325,0,0.05341246290801187,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305567643062278,486531788,88,0,False,2795,0,0.045785639958376693,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305528388616192,2938227404,88,0,False,1311,0,0.0943531093638313,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305504573321216,99520874,88,0,False,54,0,0.9295774647887324,False
"Why step outside when you know the risk?

घर से बाहर मत निकलो न 
#CoronaStopKaroNa 

Stay indoors, while we are at work for your safety! 

#HelpUsToHelpYou #JanataCurfewMarch22
#Covid_19 

@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/oJMExKiWmx",1241305477763313672,2776196971,94,0,False,14,0,1.3055555555555556,False
@ishkarnBHANDARI चलिए बधाई हो आपकी भी आंखे खुल गई कि यह किसका फेलियर है नहीं तो सब निरीह @DelhiPolice को दोष दे रहें हैं. #JantaCurfewMarch22 #CoronavirusOutbreakindia #NarendraModi,1241305410184740866,413752480,0,0,False,46,0,0.1498237885462555,False
"This is a dangerous virus. You can advise all the social distancing, the day long curfew, every precautionary step.. All will fail if those people are not removed from Shaheen Bagh. @BJP4India @AmitShah @narendramodi @ArvindKejriwal @DelhiPolice",1241305405466140674,57313997,1,0,False,6492,1,0.00023101801940551362,False
"So 2 ppl at #ShaheenBagh have tested +ive for #Coronavirus , Yet
1) they are defiant
2) they continue their public gathering
Now these protestors are officially criminals
Arrest them ASAP ! @DelhiPolice",1241305384066912256,1225797831245459456,17,0,False,27,0,0.5795454545454546,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305324327321602,99080268,88,0,False,1755,0,0.0716223548562127,False
"So 2 ppl at #ShaheenBagh have tested +ive for #Coronavirus , Yet
1) they are defiant
2) they continue their public gathering
Now these protestors are officially criminals
Arrest them ASAP ! @DelhiPolice",1241305324104994816,1238097258618310656,17,0,False,39,0,0.45535714285714285,False
@DelhiPolice @Uppolice https://t.co/F4i0CNPGmk,1241305322091761664,109167913,0,0,False,655,0,0.6547218259629101,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305275644035072,17784161,88,0,False,116,0,0.6470588235294118,False
"So 2 ppl at #ShaheenBagh have tested +ive for #Coronavirus , Yet
1) they are defiant
2) they continue their public gathering
Now these protestors are officially criminals
Arrest them ASAP ! @DelhiPolice",1241305264449400835,2430723050,17,0,False,534,0,0.04627949183303085,False
"This Fake Doc who is spreading lie about Corona virus &amp; encourage pple to come out their homes
1 of my friend got into his hoax earlier n paid fr it
@DelhiPolice pls look out

Science Has An Answer To Corona Scare - Dr. Biswaroop Roy Chowdhury https://t.co/0ozQ5m4HEW via @YouTube https://t.co/p4ChP9UBWB",1241305239296204800,100272433,27,0,False,488,0,0.07864077669902912,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305232564293632,58161162,215,0,False,14,0,1.408296943231441,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241305231956180994,1129987109132021762,88,0,False,585,0,0.1961367013372957,False
"@ManishJhaTweets @pokershash @DelhiPolice @DcpNorthDelhi @PMOIndia 
@DelhiPolice 
@BJP4Delhi 
@KapilMishra_IND 
@TajinderBagga",1241305210443743232,1233583233276796928,0,0,False,52,0,0.21157303370786515,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305205687250947,845711416611000324,215,0,False,54,0,1.1988847583643123,False
"So 2 ppl at #ShaheenBagh have tested +ive for #Coronavirus , Yet
1) they are defiant
2) they continue their public gathering
Now these protestors are officially criminals
Arrest them ASAP ! @DelhiPolice",1241305196774359041,2799392724,17,0,False,22,0,0.6538461538461539,False
Delhi Minorities Commission asks @DelhiPolice what action it took on the almost lynching which was captured on camera during the #DelhiViolence. @khan_zafarul @DCPNEastDelhi https://t.co/NgKnncGb0g,1241305192634580992,1221529438489202689,222,0,False,105,0,1.018348623853211,False
"@ShaatirChow @MumbaiPolice @DelhiPolice @Twitter @TwitterSupport Look at him

He's the lowest of the low .. suspend him asap twitter #KallaSohnaNai 

@MumbaiPolice @DelhiPolice @TwitterSupport @asimanshi_world @SinghalSaabRock https://t.co/XKTWa8jsjl",1241305158329331713,1221098246061223937,2,0,False,6,0,0.375,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241305134442754050,767718073344204801,215,0,False,474,0,0.4680696661828737,False
